date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:12	2176/2176	---M--	200	added ('OK')	application/json	date:Sun,%2016%20Feb%202020%2007:50:10%20GMT	http://epic-dental.test/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fepic-dental.test%2Ffaq%2F	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-json/oembed/1.0/embedbdfe.json	(from http://epic-dental.test/faq/)
23:50:13	2273/2273	---M--	200	added ('OK')	text/xml	date:Sun,%2016%20Feb%202020%2007:50:12%20GMT	http://epic-dental.test/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fepic-dental.test%2Ffaq%2F&format=xml	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-json/oembed/1.0/embed2749	(from http://epic-dental.test/faq/)
23:50:45	1065959/1065959	---M--	200	added ('OK')	image/png	etag:%221043e7-59e36aa6037f4%22	http://epic-dental.test/wp-content/uploads/2020/02/bannerimg2.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/bannerimg2.png	(from http://epic-dental.test/)
23:50:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Feb%202020%2007:50:45%20GMT	http://epic-dental.test/?p=125	C:/My%20Web%20Sites/epic-dental/epic-dental.test/index5070.html	(from http://epic-dental.test/pick-your-plan/)
23:50:46	2231/2231	---M--	200	added ('OK')	application/json	date:Sun,%2016%20Feb%202020%2007:50:45%20GMT	http://epic-dental.test/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fepic-dental.test%2Fpick-your-plan%2F	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-json/oembed/1.0/embeddbfd.json	(from http://epic-dental.test/pick-your-plan/)
23:50:48	2328/2328	---M--	200	added ('OK')	text/xml	date:Sun,%2016%20Feb%202020%2007:50:46%20GMT	http://epic-dental.test/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fepic-dental.test%2Fpick-your-plan%2F&format=xml	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-json/oembed/1.0/embedd06a	(from http://epic-dental.test/pick-your-plan/)
23:50:48	1756/1756	---M--	200	added ('OK')	image/png	etag:%226dc-59ea7abf9d312%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-user-100-2.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-user-100-2.png	(from http://epic-dental.test/pick-your-plan/)
23:50:49	3747/3747	---M--	200	added ('OK')	image/png	etag:%22ea3-59ea7bafae61c%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-add-user-group-man-man-100-1.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-add-user-group-man-man-100-1.png	(from http://epic-dental.test/pick-your-plan/)
23:50:50	23557/23557	---M--	200	added ('OK')	image/png	etag:%225c05-59dedae7516f2%22	http://epic-dental.test/wp-content/uploads/2020/02/epic-logo-1.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/epic-logo-1.png	(from http://epic-dental.test/pick-your-plan/)
23:50:56	377082/377082	---M--	200	added ('OK')	image/png	etag:%225c0fa-59e7b1f9d4226%22	http://epic-dental.test/wp-content/uploads/2020/02/supportimg-1.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/supportimg-1.png	(from http://epic-dental.test/faq/)
23:51:01	1284355/1284355	---M--	200	added ('OK')	image/png	etag:%22139903-59e36efe9f174%22	http://epic-dental.test/wp-content/uploads/2020/02/bannerimg3.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/bannerimg3.png	(from http://epic-dental.test/)
